station_name,station_id,wrcc_id,latitude,longitude,elevation,summary_date,observation_type,temperature_min,temperature_max,relative_humidity_min,relative_humidity_max,wind_speed_min,wind_speed_max,peak_gust_speed_min,peak_gust_speed_max,peak_wind_gust_time,solar_radiation_max,daily_precipitation_total,snow_flag
PLEASANT VALLEY,20603,APLE,34.08858,-110.94225,5232,8/22/2026,F,66,95,19,52,2,5,5,13,,890,0.0,N
PROMONTORY,20221,APRO,34.36528,-111.01444,7842,8/22/2026,F,63,82,30,48,1,3,5,11,,813,0.02,N
QUEEN,293105,XQUN,32.20361,-104.69031,5642,8/22/2026,F,68,93,15,39,6,13,8,18,,968,0.0,N
RAMAH,293305,XRAM,34.81947,-108.29439,7645,8/22/2026,F,55,85,22,75,2,14,3,19,,906,0.0,N
RED CANYON,55523735,XRDC,34.62289,-106.40831,8070,8/22/2026,F,60,80,18,53,5,10,7,15,,979,0.0,N
RED LAKE,20610,ARED,34.18133,-110.78919,6524,8/22/2026,F,59,89,25,67,0,2,3,8,,827,0.0,N
RESERVE,292005,XRES,33.71489,-108.777,5846,8/22/2026,F,58,93,16,69,1,13,1,17,,836,0.01,N
RINCON,21207,ARIN,32.20639,-110.54861,8209,8/22/2026,F,62,78,28,52,3,9,8,14,,924,0.0,N
RUCKER,21414,ARUC,31.76111,-109.34861,5700,8/22/2026,F,65,92,16,45,2,5,6,15,,997,0.0,N
SAGUARO,21202,ASAG,32.31111,-110.81861,2758,8/22/2026,F,81,106,17,43,2,5,5,15,,942,0.0,N
SAN ANDRES,292904,XSAA,32.58008,-106.52719,6137,8/22/2026,F,70,93,15,34,2,6,7,16,,990,0.0,N
SAN CARLOS #1,20608,ASCA,33.37165,-110.45683,2830,8/22/2026,F,78,107,13,40,2,14,6,23,,958,0.0,N
SANDIA LAB,291408,XSLB,35.00406,-106.41148,6321,8/22/2026,F,64,90,20,58,2,11,3,16,,966,0.0,N
SANDIA LAKES,290706,XSLK,35.22967,-106.59061,5027,8/22/2026,F,67,98,18,58,2,10,3,15,,955,0.0,N
SANTA FE WATERSHED,290901,XSFW,35.68686,-105.86031,7749,8/22/2026,F,56,85,21,64,3,13,5,17,,894,0.0,N
SASABE,21206,ASAS,31.69169,-111.44811,3500,8/22/2026,F,74,101,21,65,3,7,6,17,,918,0.03,N
SCOUT CAMP,21208,ASOL,32.39806,-110.725,7554,8/22/2026,F,66,85,27,53,2,8,7,15,,960,0.04,N
SELLS,21209,ASES,31.91014,-111.89743,2262,8/22/2026,F,81,105,20,57,2,8,6,17,,908,0.0,N
SEVILLETA,292105,XSEV,34.35844,-106.6895,5246,8/22/2026,F,67,97,14,53,2,10,3,15,,969,0.0,N
SHADOW RIM,20611,ASHA,34.40586,-111.28319,5660,8/22/2026,F,67,96,20,49,1,5,3,14,,812,0.0,N
SLAUGHTER,292008,XSLA,34.06056,-108.44472,8680,8/22/2026,F,57,80,27,60,2,14,3,19,,705,0.0,N
SMITH PEAK,21501,ASMI,34.11486,-113.34733,2386,8/22/2026,F,88,107,14,25,3,10,7,18,,931,0.02,N
SMOKEY BEAR,292203,XSMO,33.35019,-105.686,7194,8/22/2026,F,58,88,22,60,2,10,3,15,,744,0.0,N
SOWATS,55523737,ASOW,36.48242,-112.42281,7038,8/22/2026,F,61,88,18,46,5,9,8,15,,881,0.0,N
STANTON,20509,ASTA,34.16403,-112.73486,3600,8/22/2026,F,84,101,16,28,3,9,10,22,,934,0.0,N
STONE LAKE,290201,XSTO,36.73161,-106.86581,7436,8/22/2026,F,56,88,19,71,2,14,3,19,,871,0.0,N
STRAY HORSE,21106,ASTH,33.55253,-109.31719,7956,8/22/2026,F,62,80,22,47,5,10,9,16,,917,0.03,N
SUNSET POINT,20510,ASUN,34.18847,-112.13467,3380,8/22/2026,F,80,103,15,34,2,9,8,19,,872,0.02,N
TANKS,55522384,ATNK,33.67314,-110.57431,5801,8/22/2026,F,65,90,22,56,5,13,9,19,,916,0.0,N
TAOS PUEBLO RAWS,55522385,XTAP,36.41461,-105.55689,7135,8/22/2026,F,58,88,23,64,2,14,3,19,,819,0.06,N
T BAR,55523738,XTBA,33.51789,-108.52419,8047,8/22/2026,F,54,82,23,69,1,10,1,15,,872,0.01,N
TONTO BASIN,20606,ATON,33.86861,-111.31333,2414,8/22/2026,F,80,106,15,40,2,15,6,23,,883,0.04,N
TOWER,290801,XTOW,35.77899,-106.26611,6529,8/22/2026,F,62,92,19,58,3,10,5,15,,886,0.14,N
TRAIL CABIN,21105,ATRA,33.26478,-109.36789,6250,8/22/2026,F,67,92,17,49,6,8,9,15,1/6/1 17:00 LMT,975,0.0,N
TRUCHAS,290210,XTRU,36.059,-105.7695,8353,8/22/2026,F,50,83,23,73,2,11,3,16,,887,0.01,N
TRUXTON CANYON,20120,ATRU,35.78013,-113.79563,5304,8/22/2026,F,76,92,17,30,3,11,7,24,,804,0.0,N
TUSAYAN,20207,ATUS,35.98833,-112.12056,6570,8/22/2026,F,53,90,18,61,0,3,3,11,,829,0.0,N
TWEEDS POINT,20109,ATWE,36.58186,-113.732,5334,8/22/2026,F,77,94,14,25,8,15,15,31,,939,0.0,N
UNION PASS,20116,AUNI,35.23233,-114.38194,3590,8/22/2026,F,83,100,14,22,1,10,5,23,,884,0.0,N
VERDE,20503,AVER,34.54917,-111.84417,3101,8/22/2026,F,73,106,16,55,2,5,5,13,,744,0.04,N
WARM SPRINGS CANYON,20216,AWAR,36.70117,-112.22689,7953,8/22/2026,F,58,84,19,49,5,10,9,17,,735,0.0,N
WASHINGTON PASS,290101,XWAS,36.0765,-108.8615,9384,8/22/2026,F,57,77,28,60,2,10,3,15,,775,0.05,N
WILD RIVERS,290307,XWDR,36.69469,-105.66872,7530,8/22/2026,F,54,86,22,71,1,13,1,17,,716,0.07,N
YELLOW JOHN MOUNTAIN,20217,AYEL,36.155,-113.54944,6160,8/22/2026,F,57,91,16,49,2,6,6,18,,880,0.0,N
ZUNI BUTTES,290603,XZUB,35.13919,-108.94131,6649,8/22/2026,F,58,91,18,69,2,14,3,19,,882,0.0,N
