station_name,station_id,wrcc_id,latitude,longitude,elevation,observation_time,observation_time_lst,display_hour,display_hour_lst,nfdr_date,nfdr_time,nfdr_type,fuel_model,fuel_model_version,kbdi,one_hr_tl_fuel_moisture,ten_hr_tl_fuel_moisture,hun_hr_tl_fuel_moisture,thou_hr_tl_fuel_moisture,ignition_component,spread_component,energy_release_component,burning_index,herbaceous_lfi_fuel_moisture,woody_lfi_fuel_moisture,gsi,quality_code
RESERVE,292005,XRES,33.71489,-108.777,5846,2026-08-23T05:08:14.000Z,2026-08-22T22:08:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,454,16.79,15.47,16.76,16.43,1.86,1.08,23.08,13.24,30.0,60.0,0.1,0
SLAUGHTER,292008,XSLA,34.06056,-108.44472,8680,2026-08-23T05:12:54.000Z,2026-08-22T22:12:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,20,15.96,18.05,14.89,16.11,2.02,0.93,24.23,12.62,137.54,128.44,0.64,0
PELONA MOUNTAIN,292009,XPEL,33.69375,-108.06161,7955,2026-08-23T04:38:25.000Z,2026-08-22T21:38:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,235,11.06,8.85,11.78,13.77,9.49,1.68,37.95,20.35,77.68,90.34,0.45,0
GILA CENTER RAWS,292011,XGIL,33.22375,-108.24031,5767,2026-08-23T05:13:04.000Z,2026-08-22T22:13:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,270,18.53,18.37,14.91,16.27,0.88,0.78,22.65,11.27,30.0,60.0,0.11,0
DATIL,292012,XDAT,34.29256,-107.768,8431,2026-08-23T05:11:04.000Z,2026-08-22T22:11:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,176,13.16,10.96,13.76,14.67,5.92,1.7,32.24,19.0,89.82,98.07,0.49,0
MOGOLLON,292013,XMOG,33.39064,-108.80819,7602,2026-08-23T05:13:15.000Z,2026-08-22T22:13:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,159,34.14,16.61,11.23,12.81,0.0,0.0,25.02,0.0,54.78,75.77,0.38,0
CHUPADERA,292102,XCHU,33.77294,-106.0985,5580,2026-08-23T04:39:45.000Z,2026-08-22T21:39:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,515,7.04,6.55,10.42,10.94,32.17,3.52,50.23,32.53,30.0,60.0,0.01,0
BOSQUE,292103,XBOS,33.82064,-106.88169,4523,2026-08-23T04:50:24.000Z,2026-08-22T21:50:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,668,18.62,24.48,11.26,11.92,1.24,1.11,30.89,15.31,30.0,60.0,0.0,0
MAGDALENA,292104,XMAG,33.85061,-107.539,8495,2026-08-23T05:03:54.000Z,2026-08-22T22:03:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,55,11.73,9.53,12.21,14.12,6.87,1.17,36.08,16.81,115.27,114.26,0.57,0
SEVILLETA,292105,XSEV,34.35844,-106.6895,5246,2026-08-23T05:11:44.000Z,2026-08-22T22:11:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,555,10.51,15.76,11.63,11.63,12.78,2.05,39.94,22.86,30.0,60.0,0.0,0
SMOKEY BEAR,292203,XSMO,33.35019,-105.686,7194,2026-08-23T05:00:04.000Z,2026-08-22T22:00:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,95,9.21,8.93,14.54,16.48,13.42,1.51,30.81,17.62,30.0,60.0,0.28,0
EIGHT MILE DRAW,292301,XEIG,33.65064,-104.32139,3626,2026-08-23T04:37:25.000Z,2026-08-22T21:37:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,603,5.28,5.37,8.48,9.22,46.14,3.73,59.45,36.11,30.0,60.0,0.0,0
DUNKEN,292302,XDUN,32.82467,-105.18261,5431,2026-08-23T04:36:15.000Z,2026-08-22T21:36:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,484,6.2,5.6,8.7,9.88,30.12,2.42,56.3,28.88,30.0,60.0,0.02,0
BURRO MOUNTAIN,292504,XBUR,32.67203,-108.53969,6995,2026-08-23T04:59:44.000Z,2026-08-22T21:59:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,286,8.56,7.06,9.57,11.72,18.44,2.07,47.59,24.87,30.0,60.0,0.21,0
HACHITA VALLEY,292702,XHAC,31.702,-108.34169,4290,2026-08-23T04:40:54.000Z,2026-08-22T21:40:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,588,5.61,4.76,7.95,10.31,31.74,2.11,56.81,27.23,30.0,60.0,0.04,0
MCGREGGOR RANGE,292901,XMCG,32.43133,-105.62181,4832,2026-08-23T04:37:35.000Z,2026-08-22T21:37:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,595,5.76,4.87,7.69,9.71,34.96,2.76,58.74,31.27,30.0,60.0,0.01,0
DRIPPING SPRINGS,292903,XDRI,32.32225,-106.58661,5814,2026-08-23T05:26:15.000Z,2026-08-22T22:26:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,444,4.79,4.72,7.59,9.68,56.88,5.72,59.8,44.07,30.0,60.0,0.12,0
SAN ANDRES,292904,XSAA,32.58008,-106.52719,6137,2026-08-23T05:01:54.000Z,2026-08-22T22:01:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,489,5.15,4.98,7.86,9.92,48.34,4.1,58.29,37.38,30.0,60.0,0.09,0
MAYHILL,293002,XMAY,32.90947,-105.46981,6599,2026-08-23T05:01:54.000Z,2026-08-22T22:01:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,462,9.58,7.16,12.11,14.21,13.29,1.79,38.35,21.06,30.0,60.0,0.14,0
MESCAL,293003,XMES,33.15803,-105.76881,6227,2026-08-23T04:41:24.000Z,2026-08-22T21:41:00.000-07:00,2026-08-23T05:00:00.000Z,2026-08-22T22:00:00.000-07:00,2026-08-22,22,O,Y,4,210,10.11,8.37,14.08,16.47,15.61,2.97,30.98,24.09,37.64,64.86,0.32,0
