station_name,station_id,wrcc_id,latitude,longitude,elevation,observation_time,observation_time_lst,display_hour,display_hour_lst,nfdr_date,nfdr_time,nfdr_type,fuel_model,fuel_model_version,kbdi,one_hr_tl_fuel_moisture,ten_hr_tl_fuel_moisture,hun_hr_tl_fuel_moisture,thou_hr_tl_fuel_moisture,ignition_component,spread_component,energy_release_component,burning_index,herbaceous_lfi_fuel_moisture,woody_lfi_fuel_moisture,gsi,quality_code
CAVE CREEK,55522232,ACAV,34.0899,-111.8465,3477,8/23/2026 16:00 MDT,8/23/2026 16:20 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,544,3.57,5.59,8.19,9.52,59.1,3.08,59.99,33.21,30.0,60.0,0.03,0
CIPRIANO,55522238,ARIP,32.4235,-114.16211,1042,8/23/2026 15:00 MDT,8/23/2026 15:59 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,712,5.15,5.8,7.31,8.56,49.99,3.46,62.7,35.77,30.0,60.0,0.0,0
DEVILS HILLS,55522251,ADVH,32.42483,-113.79011,836,8/23/2026 16:00 MDT,8/23/2026 16:23 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,736,4.65,5.25,6.75,8.02,50.58,3.04,65.94,34.49,30.0,60.0,0.0,0
DUTCH KID,55522257,ADUT,35.12931,-112.28219,6505,8/23/2026 15:38 MDT,8/23/2026 15:38 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,115,9.08,12.55,16.34,16.77,12.77,1.24,27.44,15.26,30.0,60.0,0.28,0
FTHL YDMA,55522271,AFTH,32.48658,-114.4635,331,8/23/2026 15:38 MDT,8/23/2026 15:38 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,745,6.15,8.47,9.67,10.74,46.75,4.04,50.99,34.91,30.0,60.0,0.0,0
MIDNIGHT,55522315,XMID,36.77819,-105.34131,10815,8/23/2026 15:37 MDT,8/23/2026 15:37 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,72,10.96,15.53,17.87,17.04,8.5,1.28,23.85,14.51,197.38,166.51,0.83,0
MOHAWK DUNES,55522318,AMOD,32.68878,-113.74889,524,8/23/2026 16:00 MDT,8/23/2026 16:23 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,749,4.16,5.13,7.23,8.11,58.87,3.49,65.55,36.64,30.0,60.0,0.0,0
NEVERSHINE,55522326,ANEV,36.24753,-113.88851,2165,8/23/2026 16:00 MDT,8/23/2026 16:03 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,681,2.98,4.17,5.63,7.41,83.36,5.13,71.72,45.6,30.0,60.0,0.0,0
PICACHO PEAK,55522341,APIC,32.66314,-111.42154,1750,8/23/2026 16:00 MDT,8/23/2026 16:17 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,F,Y,4,725,4.26,5.93,8.05,9.25,53.77,3.15,60.23,33.6,30.0,60.0,0.0,0
PINEDALE,55522344,APND,34.30617,-110.23661,6461,8/23/2026 15:38 MDT,8/23/2026 15:38 MDT,8/23/2026 16:00 MDT,8/23/2026 16:00 MDT,8/22/2026,12/31/1969 17:00 MST,O,Y,4,260,7.54,12.46,14.79,14.1,26.81,2.6,34.97,23.98,30.0,60.0,0.25,0
